                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2131,                0.81363,                 1.1684,                0.87956,                0.82308,                0.88618,                0.56522,                 1.1169,                0.68935,                  1.165,               0.070035,              0.0033295,              0.0033295
                      1,                 1.2123,                0.81562,                 1.1657,                0.87603,                0.82748,                0.88642,                0.56491,                 1.1112,                0.69534,                 1.1705,               0.039969,              0.0065968,              0.0065968
                      2,                 1.2248,                0.83746,                 1.1758,                0.89619,                 0.8371,                0.89774,                0.56503,                 1.1401,                 0.6992,                 1.1754,              0.0098369,              0.0097982,              0.0097982
                      3,                  1.223,                0.81932,                 1.1721,                0.88973,                0.84055,                 0.9002,                0.57047,                 1.1214,                0.67066,                 1.1644,               0.009703,               0.009703,               0.009703
                      4,                 1.2003,                0.78605,                 1.1635,                0.90059,                0.84942,                0.90294,                0.58052,                 1.1048,                0.63152,                 1.1553,               0.009703,               0.009703,               0.009703
                      5,                   1.19,                0.74797,                 1.1501,                0.91426,                0.86972,                0.91793,                0.59136,                 1.1108,                0.58904,                 1.1596,               0.009604,               0.009604,               0.009604
                      6,                  1.178,                0.70056,                 1.1471,                0.91634,                0.87161,                0.92554,                0.60158,                 1.1053,                0.59133,                 1.1628,               0.009505,               0.009505,               0.009505
                      7,                 1.1668,                0.69727,                 1.1421,                0.92588,                0.87815,                0.92708,                0.60346,                 1.1078,                0.57726,                 1.1487,               0.009406,               0.009406,               0.009406
                      8,                 1.1602,                0.66425,                 1.1409,                0.92487,                 0.8763,                 0.9255,                 0.6047,                 1.0875,                0.57106,                 1.1465,               0.009307,               0.009307,               0.009307
                      9,                 1.1452,                 0.6463,                  1.125,                0.91543,                0.87175,                0.91859,                0.59211,                 1.0957,                0.60295,                 1.1501,               0.009208,               0.009208,               0.009208
                     10,                 1.1441,                0.63162,                 1.1228,                0.91835,                0.88015,                0.92984,                0.61147,                 1.0788,                0.55609,                 1.1417,               0.009109,               0.009109,               0.009109
                     11,                 1.1342,                0.62015,                 1.1224,                0.93352,                 0.9007,                0.94376,                 0.6303,                   1.06,                0.52687,                 1.1372,                0.00901,                0.00901,                0.00901
                     12,                 1.1226,                0.60513,                 1.1194,                0.93731,                0.89579,                0.94004,                0.62609,                 1.0661,                0.52722,                 1.1352,               0.008911,               0.008911,               0.008911
                     13,                 1.1203,                0.59682,                 1.1157,                0.93168,                0.89989,                0.94077,                0.62289,                 1.0635,                0.51666,                 1.1336,               0.008812,               0.008812,               0.008812
